country,title_count,share,cumulative_share,entity_rank,hhi
Samoa,1,0.0001392951664577239,0.9986070483354222,100,0.16103338114849963
Albania,1,0.0001392951664577239,0.99874634350188,101,0.16103338114849963
Malawi,1,0.0001392951664577239,0.9988856386683377,102,0.16103338114849963
Liechtenstein,1,0.0001392951664577239,0.9990249338347954,103,0.16103338114849963
Slovakia,1,0.0001392951664577239,0.9991642290012531,104,0.16103338114849963
Latvia,1,0.0001392951664577239,0.9993035241677108,105,0.16103338114849963
Somalia,1,0.0001392951664577239,0.9994428193341686,106,0.16103338114849963
Kuwait,1,0.0001392951664577239,0.9995821145006263,107,0.16103338114849963
Kenya,1,0.0001392951664577239,0.999721409667084,108,0.16103338114849963
Kazakhstan,1,0.0001392951664577239,0.9998607048335417,109,0.16103338114849963
Afghanistan,1,0.0001392951664577239,0.9999999999999994,110,0.16103338114849963
